task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
4	77/478087	1277644	NFCORE_SEMINAR:SEMINAR:TRIMGALORE (RAP1_UNINDUCED_REP2)	COMPLETED	0	2026-03-18 04:38:34.475	2.3s	2s	92.6%	41.3 MB	52.9 MB	52.7 MB	38.4 MB
2	b0/e33105	1277566	NFCORE_SEMINAR:SEMINAR:TRIMGALORE (RAP1_UNINDUCED_REP1)	COMPLETED	0	2026-03-18 04:38:34.439	2.2s	2s	90.1%	41.6 MB	52.8 MB	52.6 MB	38.4 MB
3	55/e553a6	1277608	NFCORE_SEMINAR:SEMINAR:FASTQC (RAP1_UNINDUCED_REP2)	COMPLETED	0	2026-03-18 04:38:34.463	3s	3s	126.4%	253.5 MB	4.9 GB	12.8 MB	1.8 MB
1	d5/6b1af9	1277581	NFCORE_SEMINAR:SEMINAR:FASTQC (RAP1_UNINDUCED_REP1)	COMPLETED	0	2026-03-18 04:38:34.448	3s	3s	122.0%	256.6 MB	4.9 GB	12.8 MB	1.8 MB
6	c8/979826	1277623	NFCORE_SEMINAR:SEMINAR:FASTQC (RAP1_IAA_30M_REP1)	COMPLETED	0	2026-03-18 04:38:34.469	4s	4s	129.4%	350.2 MB	5 GB	15.9 MB	3.5 MB
9	f6/180063	1278835	NFCORE_SEMINAR:SEMINAR:SALMON_QUANT (RAP1_UNINDUCED_REP1)	COMPLETED	0	2026-03-18 04:38:36.817	1.8s	1s	70.2%	261.9 MB	459.5 MB	63.2 MB	453.4 KB
5	48/ea792f	1278783	NFCORE_SEMINAR:SEMINAR:TRIMGALORE (RAP1_IAA_30M_REP1)	COMPLETED	0	2026-03-18 04:38:36.662	3.9s	3s	134.2%	41.9 MB	52.9 MB	134.4 MB	116.7 MB
7	ed/10b722	1279321	NFCORE_SEMINAR:SEMINAR:STAR_ALIGN (RAP1_UNINDUCED_REP1)	COMPLETED	0	2026-03-18 04:38:37.472	3.2s	2.9s	97.6%	449.3 MB	2.3 GB	165.2 MB	3.4 MB
8	56/fbbae1	1279819	NFCORE_SEMINAR:SEMINAR:STAR_ALIGN (RAP1_UNINDUCED_REP2)	COMPLETED	0	2026-03-18 04:38:38.591	3.3s	2.9s	99.2%	448.6 MB	2.3 GB	165.3 MB	3.5 MB
10	43/c6cc84	1280661	NFCORE_SEMINAR:SEMINAR:SALMON_QUANT (RAP1_UNINDUCED_REP2)	COMPLETED	0	2026-03-18 04:38:40.523	1.5s	1s	74.4%	261.7 MB	453.5 MB	63.2 MB	452.4 KB
11	10/e22d8f	1281266	NFCORE_SEMINAR:SEMINAR:SALMON_QUANT (RAP1_IAA_30M_REP1)	COMPLETED	0	2026-03-18 04:38:41.861	1.2s	1s	121.1%	3.7 MB	18.2 MB	65.3 MB	474.8 KB
12	d2/353af2	1280805	NFCORE_SEMINAR:SEMINAR:STAR_ALIGN (RAP1_IAA_30M_REP1)	COMPLETED	0	2026-03-18 04:38:40.727	7.3s	7s	99.6%	471.8 MB	2.3 GB	177.2 MB	7.2 MB
13	8b/241c20	1282436	NFCORE_SEMINAR:SEMINAR:MULTIQC	COMPLETED	0	2026-03-18 04:38:48.074	10.9s	10.6s	57.1%	786.6 MB	15.6 GB	86.5 MB	30.6 MB
