task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1	76/4cdee9	1211812	NFCORE_SEMINAR:SEMINAR:FASTQC (RAP1_UNINDUCED_REP1)	COMPLETED	0	2026-03-18 02:59:13.961	804ms	0ms	93.0%	16.2 MB	32.7 MB	1.2 MB	343 B
5	cc/144b78	1211843	NFCORE_SEMINAR:SEMINAR:FASTQC (RAP1_IAA_30M_REP1)	COMPLETED	0	2026-03-18 02:59:13.974	850ms	0ms	99.2%	14.1 MB	30.7 MB	1.2 MB	343 B
4	4f/027039	1211830	NFCORE_SEMINAR:SEMINAR:FASTQC (RAP1_UNINDUCED_REP2)	COMPLETED	0	2026-03-18 02:59:13.969	867ms	0ms	98.3%	14.6 MB	31.2 MB	1.2 MB	343 B
3	3c/fc7e50	1212943	NFCORE_SEMINAR:SEMINAR:TRIMGALORE (RAP1_UNINDUCED_REP2)	COMPLETED	0	2026-03-18 03:00:20.961	447ms	0ms	81.4%	4.7 MB	21.4 MB	527.6 KB	531 B
6	11/ec9b2f	1212921	NFCORE_SEMINAR:SEMINAR:TRIMGALORE (RAP1_IAA_30M_REP1)	COMPLETED	0	2026-03-18 03:00:20.953	439ms	0ms	112.3%	3.3 MB	4.3 MB	538.3 KB	554 B
2	91/403725	1212932	NFCORE_SEMINAR:SEMINAR:TRIMGALORE (RAP1_UNINDUCED_REP1)	COMPLETED	0	2026-03-18 03:00:20.958	418ms	0ms	66.7%	5.4 MB	30 MB	527.6 KB	531 B
11	b9/22de68	1214060	NFCORE_SEMINAR:SEMINAR:STAR_ALIGN (RAP1_IAA_30M_REP1)	COMPLETED	0	2026-03-18 03:00:22.171	469ms	146ms	80.6%	3.6 MB	4.6 MB	339.6 KB	3.5 KB
10	ec/5e21db	1214096	NFCORE_SEMINAR:SEMINAR:STAR_ALIGN (RAP1_UNINDUCED_REP2)	COMPLETED	0	2026-03-18 03:00:22.184	465ms	142ms	89.6%	3.5 MB	4.6 MB	339.9 KB	3.5 KB
8	3f/0cf8b4	1214073	NFCORE_SEMINAR:SEMINAR:STAR_ALIGN (RAP1_UNINDUCED_REP1)	COMPLETED	0	2026-03-18 03:00:22.178	492ms	149ms	86.8%	3.4 MB	4.6 MB	339.9 KB	3.5 KB
12	76/23989f	1214901	NFCORE_SEMINAR:SEMINAR:SALMON_QUANT (RAP1_IAA_30M_REP1)	COMPLETED	0	2026-03-18 03:00:32.292	405ms	0ms	76.2%	3.9 MB	12.8 MB	131.3 KB	294 B
9	c4/204fd3	1214887	NFCORE_SEMINAR:SEMINAR:SALMON_QUANT (RAP1_UNINDUCED_REP2)	COMPLETED	0	2026-03-18 03:00:32.288	440ms	0ms	62.2%	4 MB	12.8 MB	131.3 KB	294 B
7	ce/55ae3c	1214879	NFCORE_SEMINAR:SEMINAR:SALMON_QUANT (RAP1_UNINDUCED_REP1)	COMPLETED	0	2026-03-18 03:00:32.284	512ms	0ms	69.6%	5.1 MB	25.7 MB	131.3 KB	294 B
13	ee/460755	1216545	NFCORE_SEMINAR:SEMINAR:MULTIQC	COMPLETED	0	2026-03-18 03:03:33.371	2.4s	2.1s	127.4%	66.1 MB	1.2 GB	28.7 MB	358 B
