task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
2	21/9cda8b	1284935	NFCORE_SEMINAR:SEMINAR:TRIMGALORE (RAP1_UNINDUCED_REP1)	COMPLETED	0	2026-03-18 04:39:45.623	2.2s	1s	96.2%	41.7 MB	52.9 MB	52.6 MB	38.4 MB
1	6f/48ae62	1284905	NFCORE_SEMINAR:SEMINAR:FASTQC (RAP1_UNINDUCED_REP1)	COMPLETED	0	2026-03-18 04:39:45.608	3s	3s	127.8%	282.4 MB	4.9 GB	12.8 MB	1.8 MB
5	0d/935c77	1284891	NFCORE_SEMINAR:SEMINAR:TRIMGALORE (RAP1_IAA_30M_REP1)	COMPLETED	0	2026-03-18 04:39:45.602	4s	4s	125.0%	42 MB	53 MB	134.4 MB	116.7 MB
4	fd/1bdae3	1284873	NFCORE_SEMINAR:SEMINAR:FASTQC (RAP1_UNINDUCED_REP2)	COMPLETED	0	2026-03-18 04:39:45.591	4.1s	4s	92.2%	271.4 MB	4.9 GB	12.8 MB	1.8 MB
3	68/e61ca8	1286137	NFCORE_SEMINAR:SEMINAR:TRIMGALORE (RAP1_UNINDUCED_REP2)	COMPLETED	0	2026-03-18 04:39:47.854	2.3s	2s	104.9%	41.7 MB	52.9 MB	52.7 MB	38.4 MB
6	b9/c7f57d	1284947	NFCORE_SEMINAR:SEMINAR:FASTQC (RAP1_IAA_30M_REP1)	COMPLETED	0	2026-03-18 04:39:45.629	5s	4s	97.9%	354.6 MB	5 GB	15.9 MB	3.5 MB
7	6c/443ece	1286941	NFCORE_SEMINAR:SEMINAR:SALMON_QUANT (RAP1_UNINDUCED_REP1)	COMPLETED	0	2026-03-18 04:39:49.689	1.3s	0ms	96.6%	6 MB	24.6 MB	63.2 MB	453.4 KB
9	31/40b48f	1287344	NFCORE_SEMINAR:SEMINAR:SALMON_QUANT (RAP1_IAA_30M_REP1)	COMPLETED	0	2026-03-18 04:39:50.188	1.3s	1s	125.4%	4.1 MB	23.4 MB	65.3 MB	474.8 KB
12	f6/760738	1287990	NFCORE_SEMINAR:SEMINAR:SALMON_QUANT (RAP1_UNINDUCED_REP2)	COMPLETED	0	2026-03-18 04:39:51.502	1.2s	1s	92.3%	3.7 MB	18.2 MB	63.2 MB	452.4 KB
8	6d/95081c	1286885	NFCORE_SEMINAR:SEMINAR:STAR_ALIGN (RAP1_UNINDUCED_REP1)	COMPLETED	0	2026-03-18 04:39:49.657	3.4s	3s	97.3%	449.1 MB	2.3 GB	165.3 MB	3.4 MB
11	bc/ec7238	1288424	NFCORE_SEMINAR:SEMINAR:STAR_ALIGN (RAP1_UNINDUCED_REP2)	COMPLETED	0	2026-03-18 04:39:52.706	3.3s	2.9s	99.4%	449.2 MB	2.3 GB	165.3 MB	3.5 MB
10	24/0c3d01	1287668	NFCORE_SEMINAR:SEMINAR:STAR_ALIGN (RAP1_IAA_30M_REP1)	COMPLETED	0	2026-03-18 04:39:51.003	7.4s	7.1s	99.2%	470.4 MB	2.3 GB	177.2 MB	7.2 MB
13	63/e1ca62	1289695	NFCORE_SEMINAR:SEMINAR:MULTIQC	COMPLETED	0	2026-03-18 04:39:58.475	11.2s	10.8s	55.7%	788.4 MB	15.6 GB	86.5 MB	30.6 MB
